formatted_address,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,icon,id,name,opening_hours.open_now,photos,place_id,plus_code.compound_code,plus_code.global_code,price_level,rating,reference,types,user_ratings_total,state,zipcode,borough
"298 W 231st St, The Bronx, NY 10463, United States",40.8805393,-73.9083337,40.881771179892716,-73.90709347010728,40.87907152010728,-73.90979312989272,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,a3485e7994aa8626891015b990080e6dc9d7b6b3,24 Hour Fitness,True,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115781626068585721701/photos"">Stephanie Richards</a>'], 'photo_reference': 'CmRaAAAAk-hi48Do82pWAyWi3ysCXynrnikhmP7N7A7jaf67IxhLZIt2r1eBNGY93XBlQw_ak0RklCmBDi9UXX2X8YuaeBViQODb9JascwGj9hQCem6k6RXRN_c_eNkyMakR-1f0EhCF_wCB3fe3ygmL8Lu5S8JGGhTHbrV3dkrffuPmg9STZ9K3LJnk1g', 'width': 2448}]",ChIJEfg3t5XzwokRtR2xHxFYi0Q,"V3JR+6M The Bronx, New York",87G8V3JR+6M,,3.4,ChIJEfg3t5XzwokRtR2xHxFYi0Q,"['gym', 'health', 'point_of_interest', 'establishment']",187.0,NY,10463,Bronx
"5520 Broadway, The Bronx, NY 10463, United States",40.87735110000001,-73.9056545,40.878700929892716,-73.90430467010728,40.87600127010728,-73.90700432989273,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,81389fd5d6b5dd805551b9beb642637143f06a5c,Blink Fitness,True,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106153176526911278144/photos"">Julia Veliz</a>'], 'photo_reference': 'CmRaAAAAoCZZhnMSxHRGb5kNikqexQ5tKPIspf4mJpVuYRy_XXRP93teH4tT9ryZYmWceEwerSWRoUX9WFc3SDy0eC5y2AQagAKy_iednTeFb6_3GdbG5T7BXuN50weccJOzMPEoEhD5uZX13iv4Fol6_6fNuYEGGhSCFyUmHoMBf1qZSs-4adxROVmR1g', 'width': 2340}]",ChIJKftkWJHzwokRWTI8LcCn9LI,"V3GV+WP The Bronx, New York",87G8V3GV+WP,,3.8,ChIJKftkWJHzwokRWTI8LcCn9LI,"['gym', 'health', 'point_of_interest', 'establishment']",211.0,NY,10463,Bronx
"5500 Broadway, The Bronx, NY 10463, United States",40.8765677,-73.9061439,40.87784837989272,-73.90485232010728,40.87514872010728,-73.90755197989272,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,93a5f9fa33efd28fa5726eedeaae0a52803eb091,Astral Fitness,True,"[{'height': 864, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104264243999363922146/photos"">Astral Fitness</a>'], 'photo_reference': 'CmRaAAAA1z6nnQ_GfAThtnfuwaCY3sDDiMX3nMkDlLnLtPEbNzPT_r0od2TV4_cosd51wSceXrJDZob_AjLz4P3I9f9U_2TJmhXEM7hDQ-OD-OjSZEbjUoZK_BBdMSreO2lt14eLEhAP0d3dwFdKUmrS4O_E8cqZGhTDPYgt1I3MXwCEyA7KnBO51k_ayQ', 'width': 1296}]",ChIJqczPWpHzwokR3qB2P5FDkIU,"V3GV+JG The Bronx, New York",87G8V3GV+JG,,4.2,ChIJqczPWpHzwokR3qB2P5FDkIU,"['gym', 'health', 'point_of_interest', 'establishment']",31.0,NY,10463,Bronx
"82 W 225th St, The Bronx, NY 10463, United States",40.874076,-73.909262,40.87547987989271,-73.90784132010728,40.87278022010727,-73.91054097989272,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,912d8b13c868012e545577eeaa8be0762506adfb,Planet Fitness,True,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110037493035239991889/photos"">rosa deleon</a>'], 'photo_reference': 'CmRaAAAAbCM_QBJ4RhGA8eC1dCxItpcOr6lEX27f192Ohz9h_FEF1sF6pUOfxpRgPcRPilZJukTH06xwKkLrYRF3xiGrwqFJ_RhNm9mjnh4O6QTHhTwxLaHa6gTRO3byqnscGrahEhBXNBUPL_WMxunHvpp3JqlZGhQ5n__s-o9MwXKl2Tjl8wsksp5xvw', 'width': 3024}]",ChIJr3JBXpLzwokR_dIaA6b0vd8,"V3FR+J7 The Bronx, New York",87G8V3FR+J7,,4.2,ChIJr3JBXpLzwokR_dIaA6b0vd8,"['gym', 'spa', 'health', 'point_of_interest', 'establishment']",309.0,NY,10463,Bronx
"453 W 238th St, The Bronx, NY 10463, United States",40.8874104,-73.90505689999998,40.888704479892716,-73.90372922010728,40.88600482010728,-73.90642887989273,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,a272c6a36fa158e12f45a31e7a2bc01896e26c8c,CrossFit La Caja,True,"[{'height': 1334, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114919922652424871582/photos"">Deivid Valdez</a>'], 'photo_reference': 'CmRaAAAAmfgd08-CAvRkqR_gvPQW08ikGIJPIZzrHDZmuihSJxwjoPTf-pA9v0cIbvDN7Wtg6u6GtWFZqViMxDhlpKZ-KKSY94-eCM-9ONjMxVTWOMSc5U98XHf95Ka2PAMSJvxIEhCJhRpyBKFLrJsR0rMDRiQbGhQbeau4frWFGyk2r79feuZqv9-0Bg', 'width': 750}]",ChIJIUCs9LvzwokRLW1jjLy1ILQ,"V3PV+XX The Bronx, New York",87G8V3PV+XX,,4.9,ChIJIUCs9LvzwokRLW1jjLy1ILQ,"['gym', 'health', 'point_of_interest', 'establishment']",14.0,NY,10463,Bronx
"451 W 238th St, The Bronx, NY 10463, United States",40.8874411,-73.90503309999998,40.888718629892715,-73.90371202010726,40.88601897010729,-73.9064116798927,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,bd460b8485fe2617f94ef94eb41db87489a7ae9f,Bronx Barbell Club,True,"[{'height': 1067, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112218474127671930344/photos"">Bronx Barbell Club</a>'], 'photo_reference': 'CmRaAAAAaGj7d-ba8L93QgEDmM8y5Rffr9eoCh4ew5WLaUCwnBNRiCLRYJQWlbFWaRWlB18XuL55rTbS8xCdXfUE6SlgsTTtVDZeYtToTbFmIVQReOBGgK1ZXyIfzjwFtI6a7-PsEhD69qVHqW_jmVzWlqfz2-6PGhQmJ2ZNXXW3ItSR-oAVh6ZiN1JMFQ', 'width': 1600}]",ChIJCxuojLvzwokRuDZAKdRM9kM,"V3PV+XX The Bronx, New York",87G8V3PV+XX,,4.6,ChIJCxuojLvzwokRuDZAKdRM9kM,"['gym', 'health', 'point_of_interest', 'establishment']",9.0,NY,10463,Bronx
"3333 Henry Hudson Parkway East # 2, The Bronx, NY 10463, United States",40.88558219999999,-73.91433710000003,40.886917629892714,-73.91277787010728,40.88421797010729,-73.91547752989273,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,1ece03b83790fbe1f8456195d9c8b6b9ac32d7d4,Whitehall Club,True,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115857442544519237044/photos"">carlos matos</a>'], 'photo_reference': 'CmRaAAAAUcU3YXJEfzHxoUeEyoP_BTl_0Zyo2Iug0EDXpzDPRrmHHzOMqJQH8jZ9ymSyLf48bcuhhTCClKiL0BIkWIbCW7wrztFMg5adQnnAN7_y_JToqJCUG2R1wVobtywrZ2DqEhAD6u3hp6oxNw3NWlWmlf5jGhSTewhAcIHGum2c-XjcJ8xKCy-QqQ', 'width': 4032}]",ChIJ5eQBQ8DzwokR3TulqszkeVs,V3PP+67 New York,87G8V3PP+67,,4.6,ChIJ5eQBQ8DzwokR3TulqszkeVs,"['gym', 'health', 'point_of_interest', 'establishment']",19.0,NY,10463,Bronx
"2600 Netherland Ave, The Bronx, NY 10463, United States",40.8786283,-73.9145678,40.88012407989272,-73.91339192010727,40.87742442010728,-73.91609157989272,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,8a85344ff5f2f8d95a5b7c97fe83bbe2991e5ad7,TCR The Club of Riverdale,True,"[{'height': 1627, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117858207823559245735/photos"">TCR - The Club of Riverdale</a>'], 'photo_reference': 'CmRaAAAArwIrVl-ab1D9GHQXvx_9tuGK2m-E8ER6ol4Wg7eFxqO8udycRvN-Z6msJojKnTDJLpeRRPpIed7iJtItASyduu0Bfq4AXRf-ErKm4riWrOmABXD3UsOlXEaEXYhdvZEPEhBrDoDh_kk9HX6aB1cijPlNGhQb03Q7o3Ifl1zEDLfPhau_iduvkQ', 'width': 2400}]",ChIJD-_1fOvzwokRXbzmmmtKaLo,"V3HP+F5 The Bronx, New York",87G8V3HP+F5,,4.0,ChIJD-_1fOvzwokRXbzmmmtKaLo,"['spa', 'restaurant', 'food', 'school', 'gym', 'health', 'point_of_interest', 'establishment']",32.0,NY,10463,Bronx
"5625-2 Broadway, The Bronx, NY 10463, United States",40.8798588,-73.90436020000001,40.881174079892716,-73.90292467010728,40.87847442010728,-73.90562432989272,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,80b6f8991783ed2a98b6bc88be11e91d504ec1eb,Build N Box,True,"[{'height': 3744, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106525137835563870378/photos"">A Google User</a>'], 'photo_reference': 'CmRaAAAAP6f6EcrUwpkNkoHzOGTZNwENHsJAdjJwWB4JefPhiD0Py1ROHZLqKkkqq1xCLMF6lBys1QODZKSp6GUB-iEPC8QnwKW3H9bBTwedFmZWoJnTGd6i4JjowDMD9XlPNxIREhCRwh8bIpzqQIhbBs4OwxRcGhQR7QUnUFluqNpq2gfdWebclFPTvg', 'width': 5616}]",ChIJgWN3WpbzwokRO9GDlGXTz1M,"V3HW+W7 The Bronx, New York",87G8V3HW+W7,,5.0,ChIJgWN3WpbzwokRO9GDlGXTz1M,"['gym', 'health', 'point_of_interest', 'establishment']",97.0,NY,10463,Bronx
"3501 Riverdale Ave, The Bronx, NY 10463, United States",40.885412,-73.90746299999998,40.88674692989271,-73.90603802010727,40.88404727010726,-73.9087376798927,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,1b275c64654cc40e53169cceea77ef3732439ae4,Sofia's Fitness & Dance Studio,True,"[{'height': 731, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102466787807353665596/photos"">Sofia&#39;s Fitness &amp; Dance Studio</a>'], 'photo_reference': 'CmRaAAAAuaS07J_iPGJ79D6RopCmGk-xbqbuyda_0kOMGjSFdqnPg-oPQ_uwQ-p3xQPb1puDvqBgYtAY3BG_nRDhh6X5VAVzGv9J5zPPDdoSTVVNKQkJC_EUVScIFf65J_0Ta0E4EhAD9kEaSR2J9QOaxKl0aloIGhQhghGdnoKn8uRNxowktXK-TnqLLg', 'width': 731}]",ChIJ6XCUHJXzwokREdem_Ggiaj4,"V3PV+52 The Bronx, New York",87G8V3PV+52,,4.2,ChIJ6XCUHJXzwokREdem_Ggiaj4,"['gym', 'health', 'point_of_interest', 'establishment']",18.0,NY,10463,Bronx
